,name,cover,source,url,favorited,artist,songfile,Size (MB)
0,Sunburst,https://i1.sndcdn.com/artworks-OLjT4Jym05UzJLbJ-ZKFEVA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/sunburst.mp3?raw=true,https://soundcloud.com/kaivaan/sunburst,False,Kaivaan,01-and-then-a-creative-mind-was-born.mp3,1.62
1,Otafunk,https://i1.sndcdn.com/artworks-eJ5CAlhKQtgWyp0Z-GB7d6Q-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/otafunk.mp3?raw=true,https://soundcloud.com/imyourlovergirl/otafunk,False,Imyourlovergirl,01-easy-love.mp3,4.01
2,Plastic Memories Ending Fb Hardanime,https://i1.sndcdn.com/artworks-000119418000-7zgsyn-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/plastic-memories-ending-fb-hardanime.mp3?raw=true,https://soundcloud.com/hardanime-fb/plastic-memories-ending-fb-hardanime,False,Hardanime Fb,01-koi-no-orchestra.mp3,3.92
3,Dianas Heart,https://i1.sndcdn.com/artworks-acy8yVKyIetmycYE-5vHzXg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/dianas-heart.mp3?raw=true,https://soundcloud.com/maisonorange/dianas-heart,False,Maisonorange,02-ikasuze-positive-thinking.mp3,3.01
4,Grant Are We Still Young,https://i1.sndcdn.com/artworks-000224494934-ap4s68-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/grant-are-we-still-young.mp3?raw=true,https://soundcloud.com/grantsongs/grant-are-we-still-young,False,Grantsongs,02-umi-ga-kikoeru.mp3,5.53
5,Elevation_Of_Love,https://i1.sndcdn.com/artworks-000476781627-644nfm-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/elevation_of_love.mp3?raw=true,https://soundcloud.com/sourlem/elevation_of_love,False,Sourlem,03-close-to-you.mp3,2.71
6,Connection,https://i1.sndcdn.com/avatars-aPXogjt1jfUkpBfY-AyyJSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/connection.mp3?raw=true,https://soundcloud.com/korewamoemoemoe/connection,False,Korewamoemoemoe,06-natsu-no-nichi-ni-youkoso.mp3,3.65
7,Love In The Midnight,https://i1.sndcdn.com/artworks-jh5vz5zjJyjcbvtS-k31fuA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/love-in-the-midnight.mp3?raw=true,https://soundcloud.com/plastic-ank/love-in-the-midnight,False,Plastic Ank,100-production-mix-1.mp3,20.87
8,100 Production Mix 1,https://i1.sndcdn.com/artworks-3F10wCmfPIpAiDXH-SnQj8A-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/100-production-mix-1.mp3?raw=true,https://soundcloud.com/thoughts-7/100-production-mix-1,False,Thoughts 7,1000-playas.mp3,2.27
9,Virgins Club,https://i1.sndcdn.com/artworks-RPeY1CNUP0HwhvgY-8cLZsA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/virgins-club.mp3?raw=true,https://soundcloud.com/mcvirgins/virgins-club,False,Mcvirgins,1234five.mp3,2.12
10,Youve Got Me Yung Bae,https://i1.sndcdn.com/artworks-000609087640-imuwex-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/youve-got-me-yung-bae.mp3?raw=true,https://soundcloud.com/aesthetic-dude/youve-got-me-yung-bae,False,Aesthetic Dude,184a.mp3,3.04
11,Lokan Antigravity,https://i1.sndcdn.com/artworks-000377867238-zzgffd-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/lokan-antigravity.mp3?raw=true,https://soundcloud.com/xander-singh/lokan-antigravity,False,Xander Singh,19960914a.mp3,4.33
13,Departure,https://i1.sndcdn.com/artworks-KnhkwJkgGcPMzpdj-iyLLoQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/departure.mp3?raw=true,https://soundcloud.com/unerose/departure,False,Unerose,2017-memes-that-didnt-make-it-1.mp3,1.25
14,Pyre,https://i1.sndcdn.com/artworks-PdaA7DgyvCHpuzva-xkVoQQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/pyre.mp3?raw=true,https://soundcloud.com/similar-outskirts/pyre,False,Similar Outskirts,2020-genie-rager-rucker-80bpm-final-gb-major.mp3,2.38
15,Girls Last Groove,https://i1.sndcdn.com/artworks-000323128584-cxj7yz-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/girls-last-groove.mp3?raw=true,https://soundcloud.com/hiero-music/girls-last-groove,False,Hiero Music,22-jaq-world-orca.mp3,2.35
16,Freeze,https://i1.sndcdn.com/artworks-000369514971-ldfdfp-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/freeze.mp3?raw=true,https://soundcloud.com/eugenecam/freeze,False,Eugenecam,24-hour-cinderella-synthwavecyberpunk-remix.mp3,3.97
17,Porter Robinson Madeon Shelter 5,https://i1.sndcdn.com/artworks-000189983181-azrg5q-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/porter-robinson-madeon-shelter-5.mp3?raw=true,https://soundcloud.com/porter-robinson/porter-robinson-madeon-shelter-5,False,Porter Robinson,2hours-dtm-7.mp3,4.62
18,Crossing Faygo V3,https://i1.sndcdn.com/artworks-fE1KcxFzRQZBejGA-lUYQWw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/crossing-faygo-v3.mp3?raw=true,https://soundcloud.com/fumiharo/crossing-faygo-v3,False,Fumiharo,3-6-destruction.mp3,1.87
19,Rei Stormy Weather,https://i1.sndcdn.com/artworks-000223307665-r3vhzd-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/rei-stormy-weather.mp3?raw=true,https://soundcloud.com/rei_beats/rei-stormy-weather,False,Rei_Beats,365a.mp3,2.58
20,Duck Song Ft Jamil,https://i1.sndcdn.com/artworks-000664680823-9qxhln-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/duck-song-ft-jamil.mp3?raw=true,https://soundcloud.com/elizatwinkies/duck-song-ft-jamil,False,Elizatwinkies,3pm.mp3,2.92
21,Ice Cream,https://i1.sndcdn.com/artworks-000206680537-pulah9-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/ice-cream.mp3?raw=true,https://soundcloud.com/verzache/ice-cream,False,Verzache,4-w-lucasrap-prod-elvis.mp3,1.13
22,Conro All Me,https://i1.sndcdn.com/artworks-000232165609-vl2ww3-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/conro-all-me.mp3?raw=true,https://soundcloud.com/monstercat/conro-all-me,False,Monstercat,5nbi6ipb9hsa.mp3,3.64
23,Down,https://i1.sndcdn.com/artworks-000190568268-nu0zef-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/down.mp3?raw=true,https://soundcloud.com/allhousenation/down,False,Allhousenation,5sovayebjhxi.mp3,2.93
24,Contaminate,https://i1.sndcdn.com/artworks-TMMkxdvk8avvLWit-Ly3zqg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/contaminate.mp3?raw=true,https://soundcloud.com/diadiadia1/contaminate,False,Diadiadia1,6ix9ineandbelledelphineremix.mp3,2.27
25,Corporate Japan,https://i1.sndcdn.com/artworks-000213432402-uwbjxw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/corporate-japan.mp3?raw=true,https://soundcloud.com/birocratic/corporate-japan,False,Birocratic,82-99-fm-1.mp3,2.29
26,Life Of A Hentai Dude,https://i1.sndcdn.com/avatars-aPXogjt1jfUkpBfY-AyyJSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/life-of-a-hentai-dude.mp3?raw=true,https://soundcloud.com/korewamoemoemoe/life-of-a-hentai-dude,False,Korewamoemoemoe,a-certian-intrumental.mp3,3.77
27,Omniboi Gucci,https://i1.sndcdn.com/artworks-000516744582-o5n338-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/omniboi-gucci.mp3?raw=true,https://soundcloud.com/uglyyung/omniboi-gucci,False,Uglyyung,a-day-in-the-park.mp3,1.83
