,name,cover,source,url,favorited,artist
0,Sunburst,https://i1.sndcdn.com/artworks-OLjT4Jym05UzJLbJ-ZKFEVA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/sunburst.mp3?raw=true,https://soundcloud.com/kaivaan/sunburst,false,Kaivaan
1,Otafunk,https://i1.sndcdn.com/artworks-eJ5CAlhKQtgWyp0Z-GB7d6Q-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/otafunk.mp3?raw=true,https://soundcloud.com/imyourlovergirl/otafunk,false,Imyourlovergirl
2,Plastic Memories Ending Fb Hardanime,https://i1.sndcdn.com/artworks-000119418000-7zgsyn-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/plastic-memories-ending-fb-hardanime.mp3?raw=true,https://soundcloud.com/hardanime-fb/plastic-memories-ending-fb-hardanime,false,Hardanime Fb
3,Dianas Heart,https://i1.sndcdn.com/artworks-acy8yVKyIetmycYE-5vHzXg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/dianas-heart.mp3?raw=true,https://soundcloud.com/maisonorange/dianas-heart,false,Maisonorange
4,Grant Are We Still Young,https://i1.sndcdn.com/artworks-000224494934-ap4s68-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/grant-are-we-still-young.mp3?raw=true,https://soundcloud.com/grantsongs/grant-are-we-still-young,false,Grantsongs
5,Elevation_Of_Love,https://i1.sndcdn.com/artworks-000476781627-644nfm-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/elevation_of_love.mp3?raw=true,https://soundcloud.com/sourlem/elevation_of_love,false,Sourlem
6,Connection,https://i1.sndcdn.com/avatars-aPXogjt1jfUkpBfY-AyyJSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/connection.mp3?raw=true,https://soundcloud.com/korewamoemoemoe/connection,false,Korewamoemoemoe
7,Love In The Midnight,https://i1.sndcdn.com/artworks-jh5vz5zjJyjcbvtS-k31fuA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/love-in-the-midnight.mp3?raw=true,https://soundcloud.com/plastic-ank/love-in-the-midnight,false,Plastic Ank
8,100 Production Mix 1,https://i1.sndcdn.com/artworks-3F10wCmfPIpAiDXH-SnQj8A-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/100-production-mix-1.mp3?raw=true,https://soundcloud.com/thoughts-7/100-production-mix-1,false,Thoughts 7
9,Virgins Club,https://i1.sndcdn.com/artworks-RPeY1CNUP0HwhvgY-8cLZsA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/virgins-club.mp3?raw=true,https://soundcloud.com/mcvirgins/virgins-club,false,Mcvirgins
10,Youve Got Me Yung Bae,https://i1.sndcdn.com/artworks-000609087640-imuwex-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/youve-got-me-yung-bae.mp3?raw=true,https://soundcloud.com/aesthetic-dude/youve-got-me-yung-bae,false,Aesthetic Dude
11,Lokan Antigravity,https://i1.sndcdn.com/artworks-000377867238-zzgffd-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/lokan-antigravity.mp3?raw=true,https://soundcloud.com/xander-singh/lokan-antigravity,false,Xander Singh
12,Roblox Type Beat,https://i1.sndcdn.com/artworks-1HP2fN4Ni8o0Q6IL-wtm3zw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/roblox-type-beat.mp3?raw=true,https://soundcloud.com/imyourlovergirl/roblox-type-beat,false,Imyourlovergirl
13,Departure,https://i1.sndcdn.com/artworks-KnhkwJkgGcPMzpdj-iyLLoQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/departure.mp3?raw=true,https://soundcloud.com/unerose/departure,false,Unerose
14,Pyre,https://i1.sndcdn.com/artworks-PdaA7DgyvCHpuzva-xkVoQQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/pyre.mp3?raw=true,https://soundcloud.com/similar-outskirts/pyre,false,Similar Outskirts
15,Girls Last Groove,https://i1.sndcdn.com/artworks-000323128584-cxj7yz-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/girls-last-groove.mp3?raw=true,https://soundcloud.com/hiero-music/girls-last-groove,false,Hiero Music
16,Freeze,https://i1.sndcdn.com/artworks-000369514971-ldfdfp-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/freeze.mp3?raw=true,https://soundcloud.com/eugenecam/freeze,false,Eugenecam
17,Porter Robinson Madeon Shelter 5,https://i1.sndcdn.com/artworks-000189983181-azrg5q-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/porter-robinson-madeon-shelter-5.mp3?raw=true,https://soundcloud.com/porter-robinson/porter-robinson-madeon-shelter-5,false,Porter Robinson
18,Crossing Faygo V3,https://i1.sndcdn.com/artworks-fE1KcxFzRQZBejGA-lUYQWw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/crossing-faygo-v3.mp3?raw=true,https://soundcloud.com/fumiharo/crossing-faygo-v3,false,Fumiharo
19,Rei Stormy Weather,https://i1.sndcdn.com/artworks-000223307665-r3vhzd-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/rei-stormy-weather.mp3?raw=true,https://soundcloud.com/rei_beats/rei-stormy-weather,false,Rei_Beats
20,Duck Song Ft Jamil,https://i1.sndcdn.com/artworks-000664680823-9qxhln-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/duck-song-ft-jamil.mp3?raw=true,https://soundcloud.com/elizatwinkies/duck-song-ft-jamil,false,Elizatwinkies
21,Ice Cream,https://i1.sndcdn.com/artworks-000206680537-pulah9-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/ice-cream.mp3?raw=true,https://soundcloud.com/verzache/ice-cream,false,Verzache
22,Conro All Me,https://i1.sndcdn.com/artworks-000232165609-vl2ww3-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/conro-all-me.mp3?raw=true,https://soundcloud.com/monstercat/conro-all-me,false,Monstercat
23,Down,https://i1.sndcdn.com/artworks-000190568268-nu0zef-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/down.mp3?raw=true,https://soundcloud.com/allhousenation/down,false,Allhousenation
24,Contaminate,https://i1.sndcdn.com/artworks-TMMkxdvk8avvLWit-Ly3zqg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/contaminate.mp3?raw=true,https://soundcloud.com/diadiadia1/contaminate,false,Diadiadia1
25,Corporate Japan,https://i1.sndcdn.com/artworks-000213432402-uwbjxw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/corporate-japan.mp3?raw=true,https://soundcloud.com/birocratic/corporate-japan,false,Birocratic
26,Life Of A Hentai Dude,https://i1.sndcdn.com/avatars-aPXogjt1jfUkpBfY-AyyJSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/life-of-a-hentai-dude.mp3?raw=true,https://soundcloud.com/korewamoemoemoe/life-of-a-hentai-dude,false,Korewamoemoemoe
27,Omniboi Gucci,https://i1.sndcdn.com/artworks-000516744582-o5n338-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/omniboi-gucci.mp3?raw=true,https://soundcloud.com/uglyyung/omniboi-gucci,false,Uglyyung
28,Rome In Silver Friends Feat Chae,https://i1.sndcdn.com/artworks-SJj1n30ryKpLgtwL-NnXqQg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/rome-in-silver-friends-feat-chae.mp3?raw=true,https://soundcloud.com/monstercat/rome-in-silver-friends-feat-chae,false,Monstercat
29,Koven Light Up,https://i1.sndcdn.com/artworks-dOlUaTfBya4uKNSi-48cRjA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/koven-light-up.mp3?raw=true,https://soundcloud.com/monstercat/koven-light-up,false,Monstercat
30,Childish Twintails,https://i1.sndcdn.com/artworks-000096796250-22aqof-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/childish-twintails.mp3?raw=true,https://soundcloud.com/rotolotto/childish-twintails,false,Rotolotto
31,Say So Doja Cat Cover Japanese Version,https://i1.sndcdn.com/artworks-AUMUwxbWXSTrnKXj-klJYPw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/say-so-doja-cat-cover-japanese-version.mp3?raw=true,https://soundcloud.com/hani-soleha-909662204/say-so-doja-cat-cover-japanese-version,false,Hani Soleha 909662204
32,Scavenger,https://i1.sndcdn.com/artworks-000312026124-u01wb6-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/scavenger.mp3?raw=true,https://soundcloud.com/sheltr666/scavenger,false,Sheltr666
33,Gorillaz Feel Good Inc Vamp Remix,https://i1.sndcdn.com/artworks-000307009146-eb4lsc-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/gorillaz-feel-good-inc-vamp-remix.mp3?raw=true,https://soundcloud.com/djyungvampire13/gorillaz-feel-good-inc-vamp-remix,false,Djyungvampire13
34,Mondaymornings,https://i1.sndcdn.com/artworks-000253308857-4x3nqy-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/mondaymornings.mp3?raw=true,https://soundcloud.com/plexitofer/mondaymornings,false,Plexitofer
35,Meiko Nakahara Fantasy Rice Bear Remix,https://i1.sndcdn.com/artworks-000548427915-266eai-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/meiko-nakahara-fantasy-rice-bear-remix.mp3?raw=true,https://soundcloud.com/user-723244371-449905829/meiko-nakahara-fantasy-rice-bear-remix,false,User 723244371 449905829
